filename,kelas,file_size_kb,format,dampak,penanganan,kategori_sampah,risk_level
O_12461 - Copy - Copy.jpg,organik,9.01,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4676 - Copy - Copy.jpg,organik,10.78,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4630 - Copy.jpg,organik,9.87,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_31.jpg,organik,10.27,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13654 - Copy.jpg,organik,12.68,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12733 - Copy.jpg,organik,10.8,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_254.jpg,organik,13.07,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4493 - Copy.jpg,organik,12.62,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_341 - Copy.jpg,organik,13.43,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13870 - Copy (2) - Copy.jpg,organik,5.65,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_208.jpg,organik,13.38,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4651 - Copy.jpg,organik,10.31,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_164 - Copy.jpg,organik,13.03,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_112 - Copy.jpg,organik,13.31,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13686 - Copy - Copy.jpg,organik,14.12,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13800 - Copy - Copy.jpg,organik,8.57,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_43.jpg,organik,10.58,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13589 - Copy - Copy.jpg,organik,15.43,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4768.jpg,organik,10.71,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_280.jpg,organik,11.17,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_74.jpg,organik,8.63,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_255 - Copy.jpg,organik,12.52,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_319 - Copy.jpg,organik,15.25,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_374.jpg,organik,15.35,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_237.jpg,organik,12.78,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4465 - Copy - Copy.jpg,organik,9.88,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_153 - Copy.jpg,organik,12.93,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_146 - Copy.jpg,organik,12.68,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13615 - Copy.jpg,organik,12.62,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13594 - Copy - Copy.jpg,organik,11.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_116.jpg,organik,9.76,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4614 - Copy.jpg,organik,9.26,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_109.jpg,organik,9.76,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_335.jpg,organik,12.85,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_318 - Copy.jpg,organik,15.2,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13775 - Copy.jpg,organik,14.71,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13701 - Copy - Copy.jpg,organik,12.5,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_393.jpg,organik,14.96,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_235.jpg,organik,13.84,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_297 - Copy.jpg,organik,12.01,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12368 - Copy - Copy.jpg,organik,9.64,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_105.jpg,organik,10.56,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4480 - Copy.jpg,organik,12.9,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_17 - Copy.jpg,organik,11.67,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_137.jpg,organik,9.22,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_202.jpg,organik,11.89,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_256 - Copy.jpg,organik,12.53,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_6.jpg,organik,8.48,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_158.jpg,organik,13.62,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4560 - Copy - Copy.jpg,organik,9.7,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_396 - Copy.jpg,organik,10.67,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_22 - Copy.jpg,organik,14.15,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4580 - Copy.jpg,organik,14.79,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_214.jpg,organik,12.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4669 - Copy.jpg,organik,12.34,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_310.jpg,organik,12.27,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_104.jpg,organik,10.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_7 - Copy.jpg,organik,8.57,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_163 - Copy.jpg,organik,12.74,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12505 - Copy - Copy.jpg,organik,12.15,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4614 - Copy - Copy.jpg,organik,9.26,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_136.jpg,organik,9.6,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_286.jpg,organik,10.87,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_160 - Copy.jpg,organik,12.4,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_123.jpg,organik,9.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13949 - Copy - Copy.jpg,organik,11.3,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_43 - Copy.jpg,organik,10.58,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_279 - Copy.jpg,organik,13.44,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_201.jpg,organik,12.28,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_110 - Copy.jpg,organik,8.83,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_80.jpg,organik,13.33,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_315.jpg,organik,14.5,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_58 - Copy.jpg,organik,11.11,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_185.jpg,organik,12.52,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_364.jpg,organik,13.63,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4511 - Copy.jpg,organik,14.12,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13602 - Copy - Copy.jpg,organik,14.17,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_73 - Copy.jpg,organik,9.1,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4502 - Copy - Copy.jpg,organik,13.31,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_147.jpg,organik,13.33,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4744 - Copy.jpg,organik,13.37,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_156.jpg,organik,13.41,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_225 - Copy.jpg,organik,12.58,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13651 - Copy - Copy.jpg,organik,13.11,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_321 - Copy.jpg,organik,14.7,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_40 - Copy.jpg,organik,12.8,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4572 - Copy - Copy.jpg,organik,9.03,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_71 - Copy.jpg,organik,8.14,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_253 - Copy.jpg,organik,12.32,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_191 - Copy.jpg,organik,12.66,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_154 - Copy.jpg,organik,13.1,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_361.jpg,organik,14.38,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_216 - Copy.jpg,organik,12.69,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_105 - Copy.jpg,organik,10.56,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_26.jpg,organik,15.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_90 - Copy.jpg,organik,12.18,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4486 - Copy - Copy.jpg,organik,14.62,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_145.jpg,organik,13.18,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_357 - Copy.jpg,organik,13.51,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13947 - Copy - Copy - Copy.jpg,organik,11.95,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_118.jpg,organik,9.36,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_365.jpg,organik,13.46,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12497 - Copy.jpg,organik,8.79,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_202 - Copy.jpg,organik,11.89,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_132.jpg,organik,9.61,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4537 - Copy - Copy.jpg,organik,13.11,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4744.jpg,organik,13.37,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_169 - Copy.jpg,organik,13.04,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13815 - Copy.jpg,organik,13.37,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13869 - Copy - Copy.jpg,organik,15.57,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13801 - Copy - Copy - Copy.jpg,organik,13.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_193.jpg,organik,11.93,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13829 - Copy (2).jpg,organik,8.85,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13875 - Copy - Copy.jpg,organik,11.48,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_298 - Copy.jpg,organik,12.41,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_264 - Copy.jpg,organik,15.35,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_206 - Copy.jpg,organik,12.93,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4468 - Copy.jpg,organik,11.84,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4646 - Copy - Copy.jpg,organik,12.96,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_2.jpg,organik,11.03,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_96 - Copy.jpg,organik,9.44,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_70 - Copy.jpg,organik,9.03,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_45 - Copy.jpg,organik,8.98,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_288.jpg,organik,12.97,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_156 - Copy.jpg,organik,13.41,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_159 - Copy.jpg,organik,12.46,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_183.jpg,organik,13.52,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_405.jpg,organik,14.68,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_187 - Copy.jpg,organik,13.16,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_355.jpg,organik,13.9,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_361 - Copy.jpg,organik,14.38,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_183 - Copy.jpg,organik,13.52,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13801 - Copy (2).jpg,organik,13.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_92.jpg,organik,12.05,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_16.jpg,organik,12.44,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4576 - Copy.jpg,organik,13.73,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_299.jpg,organik,12.13,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_76.jpg,organik,8.38,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12733 - Copy - Copy.jpg,organik,10.8,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4654 - Copy - Copy.jpg,organik,10.07,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13595 - Copy - Copy.jpg,organik,10.42,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_354.jpg,organik,13.91,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13806 - Copy - Copy.jpg,organik,17.35,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_140 - Copy.jpg,organik,12.37,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13677 - Copy - Copy.jpg,organik,12.52,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_387.jpg,organik,15.55,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4622 - Copy - Copy.jpg,organik,8.67,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_194.jpg,organik,11.82,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13751 - Copy - Copy.jpg,organik,8.67,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_339 - Copy.jpg,organik,13.73,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13810 - Copy (2) - Copy.jpg,organik,6.58,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13606 - Copy.jpg,organik,10.03,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4616 - Copy - Copy.jpg,organik,11.87,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_336.jpg,organik,12.54,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13898 - Copy (2) - Copy.jpg,organik,16.45,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_25.jpg,organik,15.19,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_350 - Copy.jpg,organik,13.38,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13640 - Copy - Copy.jpg,organik,8.9,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_288 - Copy.jpg,organik,12.97,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_34.jpg,organik,9.71,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_289 - Copy.jpg,organik,13.09,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_77.jpg,organik,8.97,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_307.jpg,organik,11.63,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_63.jpg,organik,10.75,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_66.jpg,organik,9.94,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13662 - Copy.jpg,organik,10.7,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_181.jpg,organik,13.9,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_305 - Copy.jpg,organik,11.5,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13735 - Copy - Copy.jpg,organik,9.26,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_385 - Copy.jpg,organik,15.57,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_180 - Copy.jpg,organik,11.06,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13716 - Copy.jpg,organik,4.43,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_51 - Copy.jpg,organik,9.68,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4665 - Copy.jpg,organik,14.57,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_349.jpg,organik,13.5,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_190.jpg,organik,12.0,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_20.jpg,organik,14.97,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12432 - Copy.jpg,organik,9.34,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_282.jpg,organik,16.9,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4484 - Copy - Copy.jpg,organik,14.48,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_366.jpg,organik,14.08,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_339.jpg,organik,13.73,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13666 - Copy - Copy.jpg,organik,13.68,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13710 - Copy.jpg,organik,13.02,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_93.jpg,organik,12.04,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_12501 - Copy - Copy.jpg,organik,10.94,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_139 - Copy.jpg,organik,11.52,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_234 - Copy.jpg,organik,12.65,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_4506 - Copy - Copy.jpg,organik,9.78,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
Food Organics_247 - Copy.jpg,organik,12.58,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13599 - Copy - Copy.jpg,organik,12.62,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
O_13814 - Copy - Copy.jpg,organik,11.53,JPEG,Menghasilkan bau jika menumpuk,Diolah menjadi kompos,Organik,Rendah
